[2013-02-16 00:31:08] berni, joining. (#appium)
[2013-02-16 01:53:15] stackedsax, joining. (#appium)
[2013-02-16 01:57:45] stackedsax, quitting. (Ping timeout: 252 seconds)
[2013-02-16 04:36:35] admc, joining. (#appium)
[2013-02-16 05:11:20] admc, quitting. (Quit: Leaving.)
[2013-02-16 05:22:32] admc, joining. (#appium)
[2013-02-16 05:50:46] admc, quitting. (Quit: Leaving.)
[2013-02-16 06:30:24] stackedsax, joining. (#appium)
[2013-02-16 06:34:41] stackedsax, quitting. (Ping timeout: 255 seconds)
[2013-02-16 10:10:24] smccarthy, joining. (#appium)
[2013-02-16 10:42:34] smccarthy, quitting. (Remote host closed the connection)
[2013-02-16 10:58:01] smccarthy, joining. (#appium)
[2013-02-16 11:36:24] stackedsax, joining. (#appium)
[2013-02-16 11:49:43] smccarthy, quitting. (Remote host closed the connection)
[2013-02-16 12:56:21] alexglow, joining. (#appium)
